"Display Name ","Inventory Item: Size ","Inventory Item: Wheel Size ","Inventory Item: Price Point ","Inventory Item: Web Category ",Current Quantity Available
Merida21 Matts 6.5 V 17in Glossy Teal Blue Black,WMD,"26""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/26"" Wheel (145 - 160cm)",2
Merida21 Speeder 20 W WMD Matt Blue White,WMD,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Pedal Uptown Classic Blue  19in,WMD,700c,Bikes 0 - 0400,Root Catalog/Bikes/Cruiser Bikes,1
Pedal Uptown Classic Black  19in,WMD,700c,Bikes 0 - 0400,Root Catalog/Bikes/Cruiser Bikes,1
Pedal Uptown Classic Green  19in,WMD,700c,Bikes 0 - 0400,Root Catalog/Bikes/Cruiser Bikes,1
Pedal Uptown Classic White  19in,WMD,700c,Bikes 0 - 0400,Root Catalog/Bikes/Cruiser Bikes,1
Pedal Uptown Classic Rose Gold  19in,WMD,700c,Bikes 0 - 0400,Root Catalog/Bikes/Commuter & Recreation Bikes,1
Pedal Uptown DLX Rose Gold 18in,WMD,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Cruiser Bikes,1
Pedal Uptown DLX Mint Green 18in,WMD,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Cruiser Bikes,2
Pedal Jet 2  Mint WMD,WMD,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Merida21 Speeder 10 V W WMD Glossy Grey Black Teal,WMD,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Pedal Ranger 3 Lilac Teal 17in,WMD,"27.5"" (650b)",Bikes 0 - 0400,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Merida21 Matts 7.10 D 17in Blue Teal,WMD,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,2
Pedal Uptown DLX Light Blue 16.5in,WSM,,Bikes 0400 - 0700,Root Catalog/Bikes/Cruiser Bikes,1
Silverback 21 Splash Delight 27 38cm Watermelon,WSM,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Silverback 21 Splash 27.5 Se 38cm Black/Watermelon,WSM,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Bike18 Norco Yorkville ST C2 Blue Silver WSM,WSM,,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Bike18 Norco Yorkville ST C1 Black Silver WSM,WSM,,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,2
19Apollo Trace 10 WS Matte Charcoal Black Pink 17in,WSM,,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
